stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2032,TD-32,馬込沢,,35.74165,139.99221,2032,,0,,,
2033,TD-33,塚田,,35.72212,139.98290,2033,,0,,,
2034,TD-34,新船橋,,35.71156,139.97982,2034,,0,,,
2035,TD-35,船橋,,35.70210,139.98436,2035,,0,,,
2101,TJ-01,池袋,,35.73118,139.71117,2101,,0,,,
2102,TJ-02,北池袋,,35.74033,139.71639,2102,,0,,,
2103,TJ-03,下板橋,,35.74507,139.71562,2103,,0,,,
2104,TJ-04,大山,,35.74841,139.70262,2104,,0,,,
2105,TJ-05,中板橋,,35.75628,139.69438,2105,,0,,,
2106,TJ-06,ときわ台,,35.75890,139.68876,2106,,0,,,
2107,TJ-07,上板橋,,35.76362,139.67621,2107,,0,,,
2108,TJ-08,東武練馬,,35.76865,139.66254,2108,,0,,,
2109,TJ-09,下赤塚,,35.77048,139.64485,2109,,0,,,
2110,TJ-10,成増,,35.77759,139.63290,2110,,0,,,
2111,TJ-11,和光市,,35.78835,139.61286,2111,,0,,,
2112,TJ-12,朝霞,,35.79676,139.60030,2112,,0,,,
2113,TJ-13,朝霞台,,35.81434,139.58730,2113,,0,,,
2114,TJ-14,志木,,35.82217,139.57530,2114,,0,,,
2115,TJ-15,柳瀬川,,35.83056,139.56246,2115,,0,,,
2116,TJ-16,みずほ台,,35.83820,139.55079,2116,,0,,,
2117,TJ-17,鶴瀬,,35.84570,139.53931,2117,,0,,,
2118,TJ-18,ふじみ野,,35.86075,139.52309,2118,,0,,,
2119,TJ-19,上福岡,,35.87387,139.51187,2119,,0,,,
2120,TJ-20,新河岸,,35.89102,139.49730,2120,,0,,,
2121,TJ-21,川越,,35.90735,139.48299,2121,,0,,,
2122,TJ-22,川越市,,35.91414,139.47710,2122,,0,,,
2123,TJ-23,霞ヶ関,,35.92546,139.44385,2123,,0,,,
2124,TJ-24,鶴ヶ島,,35.93679,139.42391,2124,,0,,,
2125,TJ-25,若葉,,35.94907,139.40848,2125,,0,,,
2126,TJ-26,坂戸,,35.95724,139.39391,2126,,0,,,
2127,TJ-27,北坂戸,,35.97198,139.39685,2127,,0,,,
2128,TJ-28,高坂,,36.00293,139.39769,2128,,0,,,
2129,TJ-29,東松山,,36.03464,139.40158,2129,,0,,,
2130,TJ-30,森林公園,,36.04516,139.37533,2130,,0,,,
2131,TJ-31,つきのわ,,36.04352,139.34557,2131,,0,,,
2132,TJ-32,武蔵嵐山,,36.04438,139.32774,2132,,0,,,
2133,TJ-33,小川町,,36.05873,139.26065,2133,,0,,,
2134,TJ-34,東武竹沢,,36.07525,139.23761,2134,,0,,,
2135,TJ-35,みなみ寄居<ホンダ寄居前>,,36.09138,139.23647,2135,,0,,,
2136,TJ-36,男衾,,36.10786,139.23400,2136,,0,,,
2137,TJ-37,鉢形,,36.11372,139.20863,2137,,0,,,
2138,TJ-38,玉淀,,36.11696,139.20019,2138,,0,,,
2139,TJ-39,寄居,,36.11731,139.19368,2139,,0,,,
2201,TJ-26,坂戸,,35.95724,139.39391,2201,,0,,,
2202,TJ-41,一本松,,35.94022,139.37008,2202,,0,,,
2203,TJ-42,西大家,,35.93176,139.35646,2203,,0,,,
2204,TJ-43,川角,,35.93761,139.34648,2204,,0,,,
2205,TJ-44,武州長瀬,,35.94199,139.32619,2205,,0,,,
2206,TJ-45,東毛呂,,35.94715,139.31533,2206,,0,,,
2207,TJ-46,武州唐沢,,35.95220,139.30928,2207,,0,,,
2208,TJ-47,越生,,35.96280,139.29961,2208,,0,,,
